"z","Points:0","Points:1","Points:2"
1328.2,-4.99e+05,-2.1352e+05,0
1341.3,-4.9778e+05,-2.13e+05,0
1370.3,-4.97e+05,-2.1267e+05,0
1416.6,-4.95e+05,-2.1181e+05,0
925.69,-4.9311e+05,-2.11e+05,0
902.81,-4.93e+05,-2.1095e+05,0
619.18,-4.91e+05,-2.101e+05,0
695.76,-4.89e+05,-2.0924e+05,0
787.36,-4.8843e+05,-2.09e+05,0
1030.8,-4.87e+05,-2.0839e+05,0
1289.3,-4.85e+05,-2.0753e+05,0
1259.5,-4.8376e+05,-2.07e+05,0
1234.3,-4.83e+05,-2.0668e+05,0
1275.7,-4.81e+05,-2.0582e+05,0
1244.6,-4.7908e+05,-2.05e+05,0
1243.2,-4.79e+05,-2.0496e+05,0
1230.9,-4.77e+05,-2.0411e+05,0
1193.4,-4.75e+05,-2.0325e+05,0
1216.9,-4.7441e+05,-2.03e+05,0
1229.7,-4.73e+05,-2.024e+05,0
1071.6,-4.71e+05,-2.0154e+05,0
1068,-4.6974e+05,-2.01e+05,0
1068,-4.69e+05,-2.0068e+05,0
889.72,-4.67e+05,-1.9983e+05,0
591.38,-4.6506e+05,-1.99e+05,0
582.12,-4.65e+05,-1.9897e+05,0
586.03,-4.63e+05,-1.9812e+05,0
937.51,-4.61e+05,-1.9726e+05,0
962.45,-4.6039e+05,-1.97e+05,0
971.93,-4.59e+05,-1.9641e+05,0
807.57,-4.57e+05,-1.9555e+05,0
693.11,-4.5571e+05,-1.95e+05,0
669.39,-4.55e+05,-1.9469e+05,0
1049,-4.53e+05,-1.9384e+05,0
1092.9,-4.5104e+05,-1.93e+05,0
1093,-4.51e+05,-1.9298e+05,0
1214,-4.49e+05,-1.9213e+05,0
1386.8,-4.47e+05,-1.9127e+05,0
1434.3,-4.4637e+05,-1.91e+05,0
1507,-4.45e+05,-1.9042e+05,0
1463.6,-4.43e+05,-1.8956e+05,0
1370.1,-4.4169e+05,-1.89e+05,0
1300.5,-4.41e+05,-1.887e+05,0
1282.4,-4.39e+05,-1.8785e+05,0
1493.9,-4.3702e+05,-1.87e+05,0
1496.2,-4.37e+05,-1.8699e+05,0
1214.8,-4.35e+05,-1.8614e+05,0
1357.4,-4.33e+05,-1.8528e+05,0
1419.3,-4.3234e+05,-1.85e+05,0
1601.7,-4.31e+05,-1.8442e+05,0
1808.1,-4.29e+05,-1.8357e+05,0
2081.1,-4.2767e+05,-1.83e+05,0
2234.5,-4.27e+05,-1.8271e+05,0
2372.7,-4.25e+05,-1.8186e+05,0
2151.6,-4.23e+05,-1.81e+05,0
2150.9,-4.23e+05,-1.81e+05,0
1744.6,-4.21e+05,-1.8015e+05,0
1623.9,-4.19e+05,-1.7929e+05,0
1671.9,-4.1832e+05,-1.79e+05,0
1803.9,-4.17e+05,-1.7843e+05,0
2003.8,-4.15e+05,-1.7758e+05,0
2239.2,-4.1365e+05,-1.77e+05,0
2344.9,-4.13e+05,-1.7672e+05,0
1961.3,-4.11e+05,-1.7587e+05,0
1531,-4.09e+05,-1.7501e+05,0
1532.2,-4.0897e+05,-1.75e+05,0
1591.1,-4.07e+05,-1.7416e+05,0
1026.1,-4.05e+05,-1.733e+05,0
921.04,-4.043e+05,-1.73e+05,0
727.14,-4.03e+05,-1.7244e+05,0
823.11,-4.01e+05,-1.7159e+05,0
899.7,-3.9963e+05,-1.71e+05,0
935.99,-3.99e+05,-1.7073e+05,0
